STASIUN 3;;;;;;;;;
;;;;;;;;;
PLOT 1 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);Antenna, Kepala;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
11;0,81;0,08;0,15;A < 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
12;0,88;0,3;0,19;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
13;1,25;0,12;0,19;A < 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
15;1,4;0,37;0,22;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
16;1,06;0,32;0,21;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
17;1,35;0,36;0,25;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;2,97;0,67;0,46;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;2,02;0,85;0,4;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;0,94;0,26;0,17;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
21;0,79;0,54;0,25;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
22;0,46;0,07;0,11;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
;;;;;;;;;
PLOT 2 TITIK 2;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
2;2,64;1;0,26;A > 0.5 T;Sedikit;Ada;Ada;2;ENTOMOBRYOMORPHA
3;0,94;0,72;0,29;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
4;0,78;0,6;0,26;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
5;1,01;0,22;0,17;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
6;0,53;0,09;0,1;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
7;3,29;0,93;0,57;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
8;1,12;0,79;0,34;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
9;2,21;0,79;0,5;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
10;0,65;0,64;0,22;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
11;1,99;0,55;0,2;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
12;1,62;0,14;0,25;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
13;1,95;0,42;0,23;A > 0.5 T;Ada;Ada;Ada;8;PODUROMORPHA
14;2,73;0,76;0,44;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
